Execute,TestScenario,TestCase,Iteration,Status,Browser,BrowserVersion,Platform
false,03-CodingRequest,TC005_LEM_Verify_CodingConflict_with_Uncode_request,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC006_LEM_Verify_CodingConflict_with_Reassign_request,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,LEM_Verify_Coding_conflict_No,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC007_LEMAdmin_Verify_Contact_after_canceling_CIDL_Contact_CodingReq,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC008_LEMAdmin_Verify_CodingReq_created_from_CIDL_Contact,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC009_VIPHOST_Verify_Coding_Request_popup_for_TaskOutcome_ReportedDeceased,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC010_VIPHost_Verify_Coding_Request_popup_for_TaskOutcome_RequestUncode,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC011_VIPHost_Verify_Coding_Request_popup_for_TaskOutcome_LowWorth,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC012_VIPHost_Verify_Coding_Request_popup_not_populated_for_other_TaskOutcome,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC013_VIPHost_Verify_CodingConflict_with_HardCode_request,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC014_VIPHost_Verify_CodingConflict_with_SoftCode_request,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,ViPHost_Verify_Coding_Conflict_YES,Single,Failed,Chrome,Default,Any
false,03-CodingRequest,TC015_VIPHost_Verify_CodingConflict_with_Uncode_request,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,TC016_VIPHost_Verify_CodingConflict_with_Reassign_request,Single,Passed,Chrome,Default,Any
false,03-CodingRequest,VIPHost_Verify_Coding_conflict_No,Single,Passed,Chrome Headless,Default,Any
false,04-Contact,TC001_VIPHost_Verify Players_Views_filtering_Criteria_HostRelationship,Single,Passed,Chrome Headless,Default,Any
false,04-Contact,TC002_LEM_Verify_LEM_User_Contact_View_List_options,Single,Passed,Chrome Headless,Default,Any
false,05-OtherScenario,TC001_VIPHost_creating_a_Segment_customer_journey_in_general_tab_lock_the_time_zone,Single,Failed,Chrome Headless,Default,Any
false,05-OtherScenario,TC002_VIPHost_Creaing_Marketing_Email,Single,Failed,Chrome,Default,Any
false,05-OtherScenario,TC003_VIPHost_Creating_Coustomer_journal,Single,Failed,Chrome,Default,Any
false,05-OtherScenario,TC004_VIPHost_Creating_Segment_Customer_Journal,Single,Failed,Chrome,Default,Any
false,05-OtherScenario,TC005_LEM_creating_a_customer_journey_in_general_tab_lock_the_time_zone,Single,Failed,Chrome,Default,Any
